,MediaTek,First Financial,Gold (TWD)
2025-05-08,1241.038818359375,24.04300880432129,99784.78538813163
2025-05-09,1274.71044921875,24.51536750793457,100959.21664128732
2025-05-12,1265.08984375,24.846017837524414,97865.78437805176
2025-05-13,1303.57177734375,24.893253326416016,98586.12651344296
2025-05-14,1308.3819580078125,25.03495979309082,96522.72084046807
2025-05-15,1318.0023193359375,24.98772430419922,97158.85483727418
2025-05-16,1313.192138671875,25.176668167114258,95991.3934173584
2025-05-19,1260.2796630859375,25.5073184967041,97337.76950346958
2025-05-20,1265.08984375,25.649024963378906,98888.90726975491
2025-05-21,1289.14111328125,25.93243980407715,99352.13848050265
2025-05-22,1274.71044921875,25.74349594116211,98923.40966396453
2025-05-23,1265.08984375,25.696260452270508,101065.75508651976
2025-05-26,1231.4183349609375,25.97967529296875,100622.10000085458
2025-05-27,1231.4183349609375,25.74349594116211,98856.87421359587
2025-05-28,1231.4183349609375,25.412845611572266,98643.32543762214
2025-05-29,1212.1773681640625,25.554553985595703,99015.76817746181
2025-06-02,1212.1773681640625,25.22390365600586,101075.19925031625
2025-06-03,1226.608154296875,25.176668167114258,100391.75812773313
2025-06-04,1226.608154296875,25.318374633789062,101009.33509540558
2025-06-05,1197.7467041015625,25.696260452270508,100337.71239490574
2025-06-06,1231.4183349609375,25.97967529296875,99499.24401874607
2025-06-09,1236.228515625,26.121381759643555,99675.7735217791
2025-06-10,1284.330810546875,26.310325622558594,99258.0476045385
2025-06-11,1265.08984375,26.404796600341797,98999.65399279026
2025-06-12,1236.228515625,26.45203399658203,99821.74542524293
2025-06-13,1202.556884765625,26.404796600341797,101306.86442137696
2025-06-16,1207.3671875,26.45203399658203,98512.57631710824
2025-06-17,1226.608154296875,26.782684326171875,100402.87327448186
2025-06-18,1236.228515625,26.97162628173828,100140.45733350283
2025-06-19,1216.987548828125,27.018861770629883,100240.79590115603
2025-06-20,1202.556884765625,26.877155303955078,99599.10012407415
2025-06-23,1207.3671875,26.546504974365234,100229.5326220477
2025-06-24,1221.7978515625,26.782684326171875,97724.295957461
2025-06-25,1245.8489990234375,27.018861770629883,97623.43792897277
2025-06-26,1241.038818359375,27.018861770629883,96068.13731384277
2025-06-27,1236.228515625,27.302276611328125,94344.75969206542
2025-06-30,1202.556884765625,27.443984985351562,96218.22081112303
2025-07-01,1226.608154296875,27.585691452026367,97518.06127189053
2025-07-02,1245.8489990234375,27.585691452026367,96985.19744110107
2025-07-03,1245.8492431640625,27.68016242980957,96340.21620360482
2025-07-04,1265.4688720703125,27.91634178161621,96366.23877048492
2025-07-07,1255.6590576171875,27.963577270507812,96861.38866434386
2025-07-08,1245.8492431640625,27.821870803833008,96257.17815589905
2025-07-09,1329.2327880859375,27.774635314941406,96717.27025781013
2025-07-10,1373.3770751953125,28.010812759399414,97010.72544547729
2025-07-11,1392.9967041015625,28.15252113342285,98139.50810241699
2025-07-14,1358.662353515625,28.15252113342285,98353.45365905762
2025-07-15,1368.47216796875,28.105283737182617,97856.49571749754
2025-07-16,1383.1868896484375,28.15252113342285,98566.84937953949
2025-07-17,1363.5672607421875,28.246992111206055,98209.6316908719
2025-07-18,1383.1868896484375,28.15252113342285,98588.93010139465
2025-07-21,1397.901611328125,28.058048248291016,99789.9678816218
2025-07-22,1402.8065185546875,28.010812759399414,101109.03994176025
2025-07-23,1402.8065185546875,28.010812759399414,99223.79945905879
2025-07-24,1402.8065185546875,28.105283737182617,99077.06352043152
2025-07-25,1402.8065185546875,28.15252113342285,97989.59649276733
2025-07-28,1373.3770751953125,28.010812759399414,98137.98023288418
2025-07-29,1334.1376953125,28.15252113342285,98670.08408832084
2025-07-30,1353.7574462890625,28.15252113342285,98307.12093963008
2025-07-31,1343.947509765625,27.963577270507812,98486.43819199828
2025-08-04,1304.708251953125,28.530406951904297,100840.9039877588
2025-08-05,1314.51806640625,28.81382179260254,101245.29290238395
2025-08-06,1294.8983154296875,29.05000114440918,101111.68449401855
2025-08-07,1329.2327880859375,28.350000381469727,101356.48302419158
2025-08-08,1324.327880859375,28.200000762939453,102513.03874983732
2025-08-11,1329.2327880859375,28.200000762939453,100418.64157111663
2025-08-12,1334.1376953125,28.5,100058.76430195104
2025-08-13,1343.947509765625,28.799999237060547,100558.46615036717
2025-08-14,1363.5672607421875,29.399999618530273,100319.48090892332
2025-08-15,1343.947509765625,29.100000381469727,100343.54557800293
2025-08-18,1383.1868896484375,29.149999618530273,100034.62656280026
2025-08-19,1363.5672607421875,29.25,99757.52423268557
2025-08-20,1329.2327880859375,29.149999618530273,101238.48294421937
2025-08-21,1339.0426025390625,29.149999618530273,101828.83991485741
2025-08-22,1339.0426025390625,28.75,102973.18994289543
2025-08-25,1383.1868896484375,28.5,102711.96951020509
2025-08-26,1373.3770751953125,28.200000762939453,103510.21290127933
2025-08-27,1373.3770751953125,28.200000762939453,104095.65058334358
2025-08-28,1358.662353515625,28.299999237060547,104645.19170153746
2025-08-29,1343.947509765625,28.350000381469727,105922.83703362336
2025-09-01,1334.1376953125,28.5,106383.10121706454
2025-09-02,1334.1376953125,28.75,109122.74875623174
2025-09-03,1368.47216796875,28.950000762939453,110390.28933852538
2025-09-04,1358.662353515625,29.350000381469727,109448.66756928712
2025-09-05,1407.7115478515625,29.200000762939453,110903.56018339843
2025-09-08,1402.8065185546875,29.399999618530273,110347.57955961674
2025-09-09,1481.2852783203125,29.75,110579.98811912723
2025-09-10,1461.66552734375,30.0,110170.80466408562
2025-09-11,1451.855712890625,29.700000762939453,110161.7013716735
2025-09-12,1456.7606201171875,29.899999618530273,110540.32638311759
2025-09-15,1456.7606201171875,29.600000381469727,111180.7114330884
2025-09-16,1505.809814453125,29.600000381469727,110841.11037632637
2025-09-17,1481.2852783203125,29.399999618530273,110772.10559580196
2025-09-18,1481.2852783203125,29.600000381469727,109713.62860292662
2025-09-19,1412.616455078125,29.700000762939453,110550.70198249817
2025-09-22,1378.281982421875,29.799999237060547,113035.34536424046
2025-09-23,1348.8524169921875,29.799999237060547,114453.88799100649
2025-09-24,1304.708251953125,29.850000381469727,113321.85871876124
2025-09-25,1319.4229736328125,29.600000381469727,114205.26841821894
2025-09-26,1285.0885009765625,29.350000381469727,115378.834516095
2025-09-30,1289.993408203125,29.850000381469727,116922.02118247561
2025-10-01,1260.56396484375,29.899999618530273,117753.7744474411
2025-10-02,1255.6590576171875,29.5,116971.8530247244
2025-10-03,1294.8983154296875,29.450000762939453,118223.91819739016
2025-10-07,1299.8033447265625,29.0,121432.2413987713
2025-10-08,1309.6131591796875,29.25,123421.73244808195
2025-10-09,1319.4229736328125,28.950000762939453,120690.8768501901
2025-10-13,1289.993408203125,29.049999237060547,126097.0455344757
2025-10-14,1280.18359375,29.350000381469727,126991.46637102403
2025-10-15,1289.993408203125,29.299999237060547,127854.07204566617
2025-10-16,1304.708251953125,29.399999618530273,131025.06176959723
2025-10-17,1304.708251953125,29.100000381469727,128260.7982015051
2025-10-20,1314.51806640625,28.899999618530273,132682.12689250614
2025-10-21,1314.51806640625,29.0,125399.59566623904
2025-10-22,1304.708251953125,29.200000762939453,124345.47952394653
2025-10-23,1270.373779296875,29.049999237060547,126962.26092624664
2025-10-27,1309.6131591796875,29.0,123391.77880560886
2025-10-28,1289.993408203125,28.600000381469727,121370.08498117793
2025-10-29,1275.2786865234375,28.649999618530273,121674.54740104033
2025-10-30,1285.0885009765625,28.649999618530273,122700.66337552853
2025-10-31,1285.0885009765625,28.549999237060547,122375.79020441836
2025-11-03,1275.2786865234375,28.450000762939453,123136.43330843747
2025-11-04,1289.993408203125,28.5,121996.16265045293
2025-11-05,1304.708251953125,28.649999618530273,123066.89969983371
2025-11-06,1265.4688720703125,28.649999618530273,122950.6515514059
2025-11-07,1236.039306640625,28.450000762939453,123896.60897461977
2025-11-10,1226.2294921875,28.399999618530273,127329.28502769396
2025-11-11,1216.419677734375,28.450000762939453,127174.45102424547
2025-11-12,1221.3245849609375,28.399999618530273,130186.3005505139
2025-11-13,1221.3245849609375,28.299999237060547,130062.27836803067
2025-11-14,1206.60986328125,28.049999237060547,127226.14762267098
2025-11-17,1206.60986328125,28.149999618530273,124304.87620085757
2025-11-18,1147.7508544921875,27.850000381469727,126611.02592369076
2025-11-19,1137.9410400390625,27.850000381469727,126829.52084209071
2025-11-20,1162.465576171875,28.299999237060547,126493.84179019928
2025-11-21,1123.2261962890625,28.299999237060547,127813.10605695006
2025-11-24,1128.131103515625,28.649999618530273,128234.4149289392
2025-11-25,1162.465576171875,28.200000762939453,130078.91833578609
2025-11-26,1275.2786865234375,28.100000381469727,130737.7188776806
2025-11-27,1314.51806640625,27.850000381469727,130157.92213342153
2025-11-28,1368.47216796875,27.600000381469727,132094.7894052025
2025-12-01,1417.5213623046875,27.399999618530273,133016.08485146612
2025-12-02,1388.091796875,27.700000762939453,131442.49628272094
2025-12-03,1373.3770751953125,27.549999237060547,131866.4142609313
2025-12-04,1378.281982421875,27.75,131891.24386057816
2025-12-05,1397.901611328125,27.950000762939453,132137.60447275545
2025-12-08,1412.616455078125,28.049999237060547,130950.49961101077
2025-12-09,1392.9967041015625,27.950000762939453,131100.54770253226
2025-12-10,1432.236083984375,27.950000762939453,130722.04945195932
2025-12-11,1368.47216796875,28.200000762939453,133180.4820613861
2025-12-12,1378.281982421875,28.350000381469727,134077.54885029048
2025-12-15,1392.9967041015625,28.5,134886.28416495956
2025-12-16,1392.9967041015625,28.899999618530273,134854.38532733917
2025-12-17,1397.901611328125,29.25,136811.47690296173
2025-12-18,1392.9967041015625,29.399999618530273,137267.49426841736
2025-12-19,1383.1868896484375,29.950000762939453,137445.58882918954
2025-12-22,1373.3770751953125,30.100000381469727,140022.2393630976
2025-12-23,1363.5672607421875,29.649999618530273,141352.5393720679
2025-12-24,1353.7574462890625,29.299999237060547,141091.85698025208
2025-12-26,1358.662353515625,29.5,142984.59575098846
2025-12-29,1392.9967041015625,29.5,135721.63743468467
2025-12-30,1392.9967041015625,29.75,136861.9231189182
2025-12-31,1402.8065185546875,29.399999618530273,135147.32286772225
2026-01-02,1442.0458984375,29.549999237060547,135055.81398555916
2026-01-05,1496.0,29.850000381469727,139135.41207396425
2026-01-06,1485.0,30.049999237060547,141075.45754241757
2026-01-07,1490.0,29.75,140117.79332010075
2026-01-08,1445.0,29.649999618530273,139939.06861226633
2026-01-09,1420.0,29.700000762939453,141645.60840189457
2026-01-12,1445.0,29.399999618530273,145465.02440118045
2026-01-13,1485.0,29.399999618530273,144880.59359885752
2026-01-14,1500.0,29.399999618530273,146269.25593706034
2026-01-15,1490.0,29.799999237060547,145462.83929806575
2026-01-16,1505.0,29.799999237060547,144829.16966307256
2026-01-19,1485.0,29.75,145030.1432031067
2026-01-20,1485.0,29.450000762939453,150160.62246419676
2026-01-21,1465.0,29.25,153082.53369471058
2026-01-22,1485.0,29.200000762939453,155314.42282421887
2026-01-23,1630.0,29.200000762939453,157168.30514641106
2026-01-26,1770.0,29.049999237060547,159354.25898012146
2026-01-27,1775.0,29.049999237060547,159714.59419736173
2026-01-28,1780.0,29.049999237060547,164934.36985787842
2026-01-29,1780.0,29.149999618530273,166304.237131875
2026-01-30,1760.0,28.799999237060547,147835.91484066192
2026-02-02,1705.0,28.649999618530273,145992.41834640503
2026-02-03,1795.0,28.950000762939453,154844.63513373397
2026-02-04,1800.0,28.899999618530273,155352.77130785398
2026-02-05,1770.0,29.200000762939453,153897.8261420373
2026-02-06,1710.0,29.149999618530273,156699.54422767088
2026-02-09,1830.0,29.0,159482.16827003472
2026-02-10,1845.0,29.25,157925.92233378068
2026-02-11,1855.0,29.450000762939453,159647.3812288465
2026-02-23,1795.0,29.899999618530273,164005.30618672632
2026-02-24,1825.0,30.0,162071.531546548
2026-02-25,1870.0,29.899999618530273,163361.73032816406
2026-02-26,1945.0,29.899999618530273,161864.4971294403
2026-03-02,1900.0,29.600000381469727,166111.79693603516
2026-03-03,1815.0,29.700000762939453,161061.85514108278
2026-03-04,1720.0,28.600000381469727,162484.4291697722
2026-03-05,1775.0,29.049999237060547,160215.42857129686
2026-03-06,1765.0,29.399999618530273,164190.95020595938
2026-03-09,1665.0,29.100000381469727,161921.40790176392
2026-03-10,1705.0,29.0,166314.9258507248
2026-03-11,1765.0,29.149999618530273,164188.44299464487
2026-03-12,1785.0,28.850000381469727,162741.26829700917
2026-03-13,1720.0,28.899999618530273,161153.52766513824
2026-03-16,1710.0,28.850000381469727,160622.52737426758
2026-03-17,1730.0,29.100000381469727,159756.94347381592
2026-03-18,1730.0,28.950000762939453,155914.45950543974
2026-03-19,1680.0,28.600000381469727,147365.9499774836
2026-03-20,1700.0,28.75,145348.3112055445
2026-03-23,1625.0,28.100000381469727,141026.7800806258
2026-03-24,1620.0,28.549999237060547,140170.48822885752
2026-03-25,1620.0,28.700000762939453,145256.00007629022
2026-03-26,1590.0,28.649999618530273,139735.52928829193
2026-03-27,1585.0,28.450000762939453,143429.5613708496
2026-03-30,1510.0,28.149999618530273,145008.5206298828
2026-03-31,1490.0,28.200000762939453,148434.58968357183
2026-04-01,1465.0,28.450000762939453,153071.96739540994
2026-04-02,1465.0,28.399999618530273,148560.07594013214
2026-04-07,1470.0,28.600000381469727,148533.54632200766
2026-04-08,1580.0,28.799999237060547,150656.03911876678
2026-04-09,1575.0,29.100000381469727,152036.38285049796
2026-04-10,1575.0,28.600000381469727,151075.08182914555
2026-04-13,1620.0,28.450000762939453,150055.21957849618
2026-04-14,1720.0,28.600000381469727,152069.52595710754
2026-04-15,1790.0,28.850000381469727,151617.5994873047
2026-04-16,1895.0,28.799999237060547,151017.65281988215
2026-04-17,1925.0,28.799999237060547,153296.14662431646
2026-04-20,1900.0,28.899999618530273,151018.5714753205
2026-04-21,2090.0,28.799999237060547,147915.02737449948
2026-04-22,2295.0,28.649999618530273,148916.6342639923
2026-04-23,2215.0,28.149999618530273,148351.8093098374
2026-04-24,2435.0,28.299999237060547,148894.11608434282
2026-04-27,2435.0,28.350000381469727,147067.9763371814
2026-04-28,2615.0,28.299999237060547,144691.94174194336
2026-04-29,2575.0,28.549999237060547,143748.77023192123
2026-04-30,2610.0,28.850000381469727,145681.4715924561
2026-05-04,2870.0,28.25,142608.30686187744
2026-05-05,3155.0,28.399999618530273,144178.87643476576
